number of vertex,number of edges,Dijkstra,Floyd–Warshall,Bellman–Ford,Levit,
10,6,61600,63400,9500,14600,
60,351,674300,4266300,172500,144100,
110,1176,1791700,24818100,352100,430800,
160,2556,4371600,79118200,676900,945700,
210,4371,8546700,193626100,1434400,1707400,
260,6786,13598000,344416100,1655200,2022400,
310,9591,18316200,570369700,2446500,3277300,
360,13041,1082300,981993700,1790100,1013600,
410,16836,1682000,1357040600,4533300,2066400,
460,21321,2120500,1936463700,3857500,3196500,
510,26106,4055500,2658089000,3711600,1930500,
560,31626,69399100,3632273300,7600500,11563500,
610,37401,2998200,4722071400,5361000,2974200,
660,43956,3938100,5807907200,6473300,3717900,
710,50721,130621800,7137363800,16992300,23190000,
760,58311,143608500,8694427000,14193100,21016200,
810,66066,5084200,11007459100,10892800,6619200,
860,74691,179464200,13302796700,19409600,22048600,
910,83436,197159400,15313441800,28281000,29685600,
960,93096,12261300,18814046600,13298900,8606100,
1010,102831,8517500,21312799800,15773100,7505500,
