number of vertex,number of edges,Dijkstra,Floyd–Warshall,Bellman–Ford,Levit,
10,45,121200,121700,31000,354400,
60,1770,3077800,13640900,725000,951400,
110,5995,12583000,91175200,3303300,2109300,
160,12720,24327400,268550900,3244500,6471300,
210,21945,45829500,615776200,5516900,7435000,
260,33670,68692100,1142916400,8142800,11159100,
310,47895,94827300,2015777300,11526800,16924300,
360,64620,131322900,3092959600,12890100,18268400,
410,83845,177301500,4428387000,19623000,28062900,
460,105570,206153400,6583707200,26727600,38227400,
510,129795,278318300,8586982000,31367800,40129600,
560,156520,330561600,11461115400,37416400,60258300,
610,185745,404798300,14804446300,47070900,75083600,
660,217470,526810700,18611061900,49849600,75076800,
710,251695,557517400,22978518200,59467700,87553100,
760,288420,626318800,28428402200,72250100,95889600,
810,327645,715541700,33920781500,92757300,98285500,
860,369370,829482600,43262143400,102987000,151507100,
910,413595,1023749000,48323883000,107115400,131809600,
960,460320,1010157300,56632774700,101046300,160342600,
1010,509545,1256525700,67325082300,125484800,155139600,
