number of vertex,number of edges,Dijkstra,Floyd–Warshall,Bellman–Ford,Levit,
10,9,95000,129500,21200,28800,
60,59,400500,10108300,91400,107500,
110,109,640900,70669300,259700,305700,
160,159,1201500,164942800,521500,522800,
210,209,2384700,462785700,549100,277900,
260,259,2207800,907120400,381200,486800,
310,309,1777400,1585560600,1134800,1015000,
360,359,3941900,2436574200,514900,628000,
410,409,2314800,3593616700,577800,923400,
460,459,2758100,5006156400,878500,843400,
510,509,3025800,6905325800,708100,1343000,
560,559,3811800,8956110600,788400,974000,
610,609,4075700,11632577100,871000,1066200,
660,659,4579600,15034448900,915200,1541900,
710,709,6902700,18690906900,1442700,1283600,
760,759,4919200,23897819400,1576200,1518100,
810,809,5696400,27149576000,1533600,1499400,
860,859,5629600,32435580500,1232600,1511000,
910,909,5876300,36430856300,1569800,2545600,
960,959,6893200,30971829600,438500,782800,
1010,1009,2278800,25093399100,679600,835700,
